Configuration,Focus_Concentration,SNR_dB,Signal_Power,Noise_Power,Contrast_Ratio,Combined_Score
L1_M1_1550nm,0.08192567792188611,9.621864,0.008046466,0.0008778469,9.166138,0.28150945289259893
L2_M2_1550nm,0.4241507858552442,22.280895,0.16387004,0.0009691922,169.079,0.7120753929276221
L2_M1_1550nm,0.16266615588185493,15.184579,0.024542969,0.00074382225,32.995743,0.46094755033014867
L2_M3_1550nm,0.4902393320791076,19.193388,0.0856356,0.0010311351,83.049835,0.7249543716307556
L5_M3_1550nm,0.573908897090825,19.254509,0.09594615,0.0011391389,84.226906,0.7683171788100762
L3_M3_1550nm,0.5792026739276741,20.512522,0.11837522,0.001051983,112.525795,0.789601336963837
L1_M2_1550nm,0.14590427182967972,13.16784,0.023528168,0.001134499,20.738817,0.40214814197448645
L1_M3_1550nm,0.08757416070556681,10.349323,0.011316141,0.0010441574,10.837582,0.3025201740913393
L3_M1_1550nm,0.18475915028477938,15.578051,0.030485084,0.0008438833,36.124763,0.4818308404774727
L5_M2_1550nm,0.3091487085372524,19.299772,0.096787326,0.0011372116,85.10934,0.6370686489120283
L4_M2_1550nm,0.3311097875936689,18.506596,0.07726574,0.0010897511,70.90219,0.62821979600707
L4_M3_1550nm,0.6343367091699622,20.42599,0.12232011,0.0011089166,110.30596,0.817168354584981
L5_M1_1550nm,0.5659631518465248,18.90702,0.06593574,0.00084804464,77.75031,0.7556570782235248
L4_M1_1550nm,0.5802724908497473,19.30634,0.07017012,0.0008232245,85.23814,0.7727947210623096
L3_M2_1550nm,0.45885787399066125,21.08239,0.1351608,0.0010534452,128.3036,0.7294289369953306
