Configuration,Focus_Concentration,SNR_dB,Signal_Power,Noise_Power,Contrast_Ratio,Combined_Score
L1_M2_1550nm,0.625470070605739,32.551075,0.4265114,0.00023704089,1799.3158,0.8127350353028695
L2_M2_1550nm,0.6577708711921023,32.545662,0.5584304,0.00031074407,1797.075,0.8288854355960511
L3_M3_1550nm,0.7729013421814391,29.468649,0.35869738,0.00040538097,884.8402,0.8864506710907196
L3_M2_1550nm,0.6268621988375714,29.468472,0.3654259,0.000413002,884.8042,0.8134310994187857
L1_M1_1550nm,0.3573042526916032,26.427914,0.12255163,0.00027895096,439.33035,0.6786521263458016
L5_M2_1550nm,0.5421701599518622,27.812574,0.32675904,0.00054071716,604.30676,0.7710850799759311
L2_M1_1550nm,0.3207538488948946,25.704422,0.102398954,0.00027532992,371.91364,0.6603769244474473
L5_M1_1550nm,0.1901196033275395,19.261276,0.043841816,0.0005197097,84.35828,0.5765917197126283
L4_M1_1550nm,0.6881816802710458,26.918785,0.1843927,0.00037485655,491.90204,0.8440908401355229
L4_M3_1550nm,0.44005600148660523,26.046333,0.21277927,0.00052880566,402.37708,0.7200280007433026
L5_M3_1550nm,0.8999997216427104,27.570347,0.3652133,0.0006390163,571.5243,0.9499998608213551
L4_M2_1550nm,0.4177906976349629,30.80042,0.55112827,0.0004583641,1202.381,0.7088953488174814
L1_M3_1550nm,0.595618452086619,31.84531,0.34117046,0.00022306967,1529.4346,0.7978092260433095
L2_M3_1550nm,0.6442802886626599,31.317425,0.37800094,0.00027909398,1354.3859,0.8221401443313299
L3_M1_1550nm,0.198097918063039,24.152489,0.082260154,0.0003161845,260.16504,0.5990489590315196
