Wavelength,Layers,Mean_Performance,Std_Performance,Max_Performance,Min_Performance,Performance_Range
1310nm,1,0.3691171421912926,0.14566980033543142,0.5577622472230759,0.20310564802254016,0.3546565992005357
1310nm,2,0.0,0.0,0.0,0.0,0.0
1310nm,3,0.0,0.0,0.0,0.0,0.0
1310nm,4,0.0,0.0,0.0,0.0,0.0
1310nm,5,0.0,0.0,0.0,0.0,0.0
1550nm,1,0.36341735633689926,0.04649680629793661,0.4243673422191374,0.31157056165661967,0.11279678056251774
1550nm,2,0.0,0.0,0.0,0.0,0.0
1550nm,3,0.0,0.0,0.0,0.0,0.0
1550nm,4,0.0,0.0,0.0,0.0,0.0
1550nm,5,0.0,0.0,0.0,0.0,0.0
